Seq_number	VP.COMB.T1.01.S1.L001	VP.COMB.T1.02.S2.L001	VP.COMB.T1.03.S3.L001	VP.COMB.T1.04.S4.L001	VP.COMB.T1.05.S5.L001	VP.COMB.T1.06.S6.L001	VP.COMB.T1.07.S7.L001	VP.COMB.T1.08.S8.L001	VP.COMB.T1.09.S9.L001	VP.COMB.T1.10.S10.L001	VP.COMB.T1.11.S11.L001	VP.COMB.T1.12.S12.L001	VP.COMB.T1.13.S13.L001	VP.COMB.T1.14.S14.L001	VP.COMB.T1.15.S15.L001	VP.COMB.T1.16.S16.L001	VP.COMB.T1.17.S17.L001	VP.COMB.T1.18.S18.L001	VP.COMB.T1.19.S19.L001	VP.COMB.T1.20.S20.L001	VP.COMB.T1.21.S21.L001	VP.COMB.T1.22.S22.L001	VP.COMB.T1.23.S23.L001	VP.COMB.T1.24.S24.L001	VP.COMB.T1.25.S25.L001	VP.COMB.T1.26.S26.L001	VP.COMB.T1.27.S27.L001	VP.COMB.T1.28.S28.L001	VP.COMB.T1.29.S29.L001	VP.COMB.T1.30.S30.L001	VP.COMB.T1.31.S31.L001	VP.COMB.T2.01.S32.L001	VP.COMB.T2.02.S33.L001	VP.COMB.T2.03.S34.L001	VP.COMB.T2.04.S35.L001	VP.COMB.T2.05.S36.L001	VP.COMB.T2.06.S37.L001	VP.COMB.T2.07.S38.L001	VP.COMB.T2.08.S39.L001	VP.COMB.T2.09.S40.L001	VP.COMB.T2.10.S41.L001	VP.COMB.T2.11.S42.L001	VP.COMB.T2.12.S43.L001	VP.COMB.T2.13.S44.L001	VP.COMB.T2.14.S45.L001	VP.COMB.T2.15.S46.L001	VP.COMB.T2.16.S47.L001	VP.COMB.T2.17.S48.L001	VP.COMB.T2.18.S49.L001	VP.COMB.T2.19.S50.L001	VP.COMB.T2.20.S51.L001	VP.COMB.T2.21.S52.L001	VP.COMB.T2.22.S53.L001	VP.COMB.T2.23.S54.L001	VP.COMB.T2.24.S55.L001	VP.COMB.T2.25.S56.L001	VP.COMB.T2.26.S57.L001	VP.COMB.T2.27.S58.L001	VP.COMB.T2.28.S59.L001	VP.COMB.T3.01.S60.L001	VP.COMB.T3.02.S61.L001	VP.COMB.T3.03.S62.L001	VP.COMB.T3.04.S63.L001	VP.COMB.T3.05.S64.L001	VP.COMB.T3.06.S65.L001	VP.COMB.T3.07.S66.L001	VP.COMB.T3.08.S67.L001	VP.COMB.T3.09.S68.L001	VP.COMB.T3.10.S69.L001	VP.COMB.T3.11.S70.L001	VP.COMB.T3.12.S71.L001	VP.COMB.T3.13.S72.L001	VP.COMB.T3.14.S73.L001	VP.COMB.T3.15.S74.L001	VP.COMB.T3.16.S75.L001	VP.COMB.T3.17.S76.L001	VP.COMB.T3.18.S77.L001	VP.COMB.T3.19.S78.L001	VP.COMB.T3.20.S79.L001	VP.COMB.T3.21.S80.L001	VP.COMB.T3.22.S81.L001	VP.COMB.T3.23.S82.L001	VP.COMB.T3.24.S83.L001	VP.COMB.T3.25.S84.L001	VP.COMB.T3.26.S85.L001	VP.COMB.T3.27.S86.L001	VP.COMB.T3.28.S87.L001	VP.COMB.T3.29.S88.L001	VP.COMB.T3.30.S89.L001	VP.COMB.T3.31.S90.L001	VP.COMB.T3.32.S91.L001	VP.COMB.T3.33.S92.L001	VP.COMB.T3.34.S93.L001	sum.taxonomy
merged_vp2_Metazoa_16s_543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Tethyida;Tethyidae;Tethya;Tethya sp. XMU02001079
merged_vp2_Metazoa_16s_602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Tethyida;Tethyidae;Tethya;
merged_vp2_Metazoa_16s_565	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Latrunculiidae;Negombata;Negombata magnifica
merged_vp2_Metazoa_16s_717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Latrunculiidae;Negombata;Negombata magnifica
merged_vp2_Metazoa_16s_587	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Iotrochotidae;Iotrochota;Iotrochota birotulata
merged_vp2_Metazoa_16s_674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Iotrochotidae;Iotrochota;Iotrochota birotulata
merged_vp2_Metazoa_16s_542	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Poecilosclerida;;;
merged_vp2_Metazoa_16s_680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Poecilosclerida;;;
merged_vp2_Metazoa_16s_696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Axinellida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
merged_vp2_Metazoa_16s_737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;Axinellida;Axinellidae;Axinella;Axinella corrugata
merged_vp2_Metazoa_16s_113	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	43	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	4	0	75	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	32	238	0	0	145	0	0	0	12	67	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	341	0	0	0	150	55	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	20	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_586	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_613	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;;;;;
merged_vp2_Metazoa_16s_715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Nemertea;Palaeonemertea;;Cephalothricidae;Cephalothrix;Cephalothrix rufifrons
merged_vp2_Metazoa_16s_703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;
unmerged_vp2_Metazoa_16s_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	Eukaryota;Mollusca;Gastropoda;Stylommatophora;Helicidae;Otala;Otala sp. OT1
unmerged_vp2_Metazoa_16s_7	0	18	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	24	0	0	42	0	0	0	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Mollusca;Gastropoda;Stylommatophora;Helicidae;Cantareus;Cantareus apertus
unmerged_vp2_Metazoa_16s_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Mollusca;Gastropoda;Stylommatophora;Helicidae;Cantareus;Cantareus apertus
merged_vp2_Metazoa_16s_704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Mollusca;Gastropoda;Stylommatophora;Agriolimacidae;Deroceras;Deroceras laeve
